"id","bookid","chapterid","verseno","versetext","imageurl","icon","tagrefs","verserefs","topicrefs","seqno","bookno"
6355,DEUT,14,21,"Ye shall not eat of anything that dieth of itself: thou shalt give it unto the stranger that is in thy gates, that he may eat it; or thou mayest sell it unto an alien: for thou art an holy people unto the LORD thy God. Thou shalt not seethe a kid in his mother's milk.",,,,,,6355,5
6356,DEUT,14,22,"Thou shalt truly tithe all the increase of thy seed, that the field bringeth forth year by year.",,,,,,6356,5
6357,DEUT,14,23,"And thou shalt eat before the LORD thy God, in the place which he shall choose to place his name there, the tithe of thy corn, of thy wine, and of thine oil, and the firstlings of thy herds and of thy flocks; that thou mayest learn to fear the LORD thy God always.",,,,,,6357,5
6358,DEUT,14,24,"And if the way be too long for thee, so that thou art not able to carry it; or if the place be too far from thee, which the LORD thy God shall choose to set his name there, when the LORD thy God hath blessed thee:",,,,,,6358,5
6359,DEUT,14,25,"Then shalt thou turn it into money, and bind up the money in thine hand, and shalt go unto the place which the LORD thy God shall choose:",,,,,,6359,5
6360,DEUT,14,26,"And thou shalt bestow that money for whatsoever thy soul lusteth after, for oxen, or for sheep, or for wine, or for strong drink, or for whatsoever thy soul desireth: and thou shalt eat there before the LORD thy God, and thou shalt rejoice, thou, and thine household,",,,,,,6360,5
6361,DEUT,14,27,And the Levite that is within thy gates; thou shalt not forsake him; for he hath no part nor inheritance with thee.,,,,,,6361,5
6362,DEUT,14,28,"At the end of three years thou shalt bring forth all the tithe of thine increase the same year, and shalt lay it up within thy gates:",,,,,,6362,5
6363,DEUT,14,29,"And the Levite, (because he hath no part nor inheritance with thee,) and the stranger, and the fatherless, and the widow, which are within thy gates, shall come, and shall eat and be satisfied; that the LORD thy God may bless thee in all the work of thine hand which thou doest.",,,,,,6363,5
6364,DEUT,15,1,At the end of every seven years thou shalt make a release.,,,,,,6364,5
6365,DEUT,15,2,"And this is the manner of the release: Every creditor that lendeth ought unto his neighbor shall release it; he shall not exact it of his neighbor, or of his brother; because it is called the LORD's release.",,,,,,6365,5
6366,DEUT,15,3,Of a foreigner thou mayest exact it again: but that which is thine with thy brother thine hand shall release;,,,,,,6366,5
6367,DEUT,15,4,Save when there shall be no poor among you; for the LORD shall greatly bless thee in the land which the LORD thy God giveth thee for an inheritance to possess it:,,,,,,6367,5
6368,DEUT,15,5,"Only if thou carefully hearken unto the voice of the LORD thy God, to observe to do all these commandments which I command thee this day.",,,,,,6368,5
6369,DEUT,15,6,"For the LORD thy God blesseth thee, as he promised thee: and thou shalt lend unto many nations, but thou shalt not borrow; and thou shalt reign over many nations, but they shall not reign over thee.",,,,,,6369,5
6370,DEUT,15,7,"If there be among you a poor man of one of thy brethren within any of thy gates in thy land which the LORD thy God giveth thee, thou shalt not harden thine heart, nor shut thine hand from thy poor brother:",,,,,,6370,5
6371,DEUT,15,8,"But thou shalt open thine hand wide unto him, and shalt surely lend him sufficient for his need, in that which he wanteth.",,,,,,6371,5
