"id","bookid","chapterid","verseno","versetext","imageurl","icon","tagrefs","verserefs","topicrefs","seqno","bookno"
10329,"2KIN",3,7,"And he went and sent to Jehoshaphat the king of Judah, saying, The king of Moab hath rebelled against me: wilt thou go with me against Moab to battle? And he said, I will go up: I am as thou art, my people as thy people, and my horses as thy horses.",,,,,,10329,12
10330,"2KIN",3,8,"And he said, Which way shall we go up? And he answered, The way through the wilderness of Edom.",,,,,,10330,12
10331,"2KIN",3,9,"So the king of Israel went, and the king of Judah, and the king of Edom: and they fetched a compass of seven days' journey: and there was no water for the host, and for the cattle that followed them.",,,,,,10331,12
10332,"2KIN",3,10,"And the king of Israel said, Alas! that the LORD hath called these three kings together, to deliver them into the hand of Moab!",,,,,,10332,12
10333,"2KIN",3,11,"But Jehoshaphat said, Is there not here a prophet of the LORD, that we may enquire of the LORD by him? And one of the king of Israel's servants answered and said, Here is Elisha the son of Shaphat, which poured water on the hands of Elijah.",,,,,,10333,12
10334,"2KIN",3,12,"And Jehoshaphat said, The word of the LORD is with him. So the king of Israel and Jehoshaphat and the king of Edom went down to him.",,,,,,10334,12
10335,"2KIN",3,13,"And Elisha said unto the king of Israel, What have I to do with thee? get thee to the prophets of thy father, and to the prophets of thy mother. And the king of Israel said unto him, Nay: for the LORD hath called these three kings together, to deliver them into the hand of Moab.",,,,,,10335,12
10336,"2KIN",3,14,"And Elisha said, As the LORD of hosts liveth, before whom I stand, surely, were it not that I regard the presence of Jehoshaphat the king of Judah, I would not look toward thee, nor see thee.",,,,,,10336,12
10337,"2KIN",3,15,"But now bring me a minstrel. And it came to pass, when the minstrel played, that the hand of the LORD came upon him.",,,,,,10337,12
10338,"2KIN",3,16,"And he said, Thus saith the LORD, Make this valley full of ditches.",,,,,,10338,12
10339,"2KIN",3,17,"For thus saith the LORD, Ye shall not see wind, neither shall ye see rain; yet that valley shall be filled with water, that ye may drink, both ye, and your cattle, and your beasts.",,,,,,10339,12
10340,"2KIN",3,18,And this is but a light thing in the sight of the LORD: he will deliver the Moabites also into your hand.,,,,,,10340,12
10341,"2KIN",3,19,"And ye shall smite every fenced city, and every choice city, and shall fell every good tree, and stop all wells of water, and mar every good piece of land with stones.",,,,,,10341,12
10342,"2KIN",3,20,"And it came to pass in the morning, when the meat offering was offered, that, behold, there came water by the way of Edom, and the country was filled with water.",,,,,,10342,12
10343,"2KIN",3,21,"And when all the Moabites heard that the kings were come up to fight against them, they gathered all that were able to put on armor, and upward, and stood in the border.",,,,,,10343,12
10344,"2KIN",3,22,"And they rose up early in the morning, and the sun shone upon the water, and the Moabites saw the water on the other side as red as blood:",,,,,,10344,12
10345,"2KIN",3,23,"And they said, This is blood: the kings are surely slain, and they have smitten one another: now therefore, Moab, to the spoil.",,,,,,10345,12
10346,"2KIN",3,24,"And when they came to the camp of Israel, the Israelites rose up and smote the Moabites, so that they fled before them: but they went forward smiting the Moabites, even in their country.",,,,,,10346,12
10347,"2KIN",3,25,"And they beat down the cities, and on every good piece of land cast every man his stone, and filled it; and they stopped all the wells of water, and felled all the good trees: only in Kirharaseth left they the stones thereof; howbeit the slingers went about it, and smote it.",,,,,,10347,12
10348,"2KIN",3,26,"And when the king of Moab saw that the battle was too sore for him, he took with him seven hundred men that drew swords, to break through even unto the king of Edom: but they could not.",,,,,,10348,12
10349,"2KIN",3,27,"Then he took his eldest son that should have reigned in his stead, and offered him for a burnt offering upon the wall. And there was great indignation against Israel: and they departed from him, and returned to their own land.",,,,,,10349,12
10350,"2KIN",4,1,"Now there cried a certain woman of the wives of the sons of the prophets unto Elisha, saying, Thy servant my husband is dead; and thou knowest that thy servant did fear the LORD: and the creditor is come to take unto him my two sons to be bondmen.",,,,,,10350,12
10351,"2KIN",4,2,"And Elisha said unto her, What shall I do for thee? tell me, what hast thou in the house? And she said, Thine handmaid hath not any thing in the house, save a pot of oil.",,,,,,10351,12
10352,"2KIN",4,3,"Then he said, Go, borrow thee vessels abroad of all thy neighbors, even empty vessels; borrow not a few.",,,,,,10352,12
10353,"2KIN",4,4,"And when thou art come in, thou shalt shut the door upon thee and upon thy sons, and shalt pour out into all those vessels, and thou shalt set aside that which is full.",,,,,,10353,12
10354,"2KIN",4,5,"So she went from him, and shut the door upon her and upon her sons, who brought the vessels to her; and she poured out.",,,,,,10354,12
10355,"2KIN",4,6,"And it came to pass, when the vessels were full, that she said unto her son, Bring me yet a vessel. And he said unto her, There is not a vessel more. And the oil stayed.",,,,,,10355,12
10356,"2KIN",4,7,"Then she came and told the man of God. And he said, Go, sell the oil, and pay thy debt, and live thou and thy children of the rest.",,,,,,10356,12
10357,"2KIN",4,8,"And it fell on a day, that Elisha passed to Shunem, where was a great woman; and she constrained him to eat bread. And so it was, that as oft as he passed by, he turned in thither to eat bread.",,,,,,10357,12
10358,"2KIN",4,9,"And she said unto her husband, Behold now, I perceive that this is an holy man of God, which passeth by us continually.",,,,,,10358,12
10359,"2KIN",4,10,"Let us make a little chamber, I pray thee, on the wall; and let us set for him there a bed, and a table, and a stool, and a candlestick: and it shall be, when he cometh to us, that he shall turn in thither.",,,,,,10359,12
10360,"2KIN",4,11,"And it fell on a day, that he came thither, and he turned into the chamber, and lay there.",,,,,,10360,12
10361,"2KIN",4,12,"And he said to Gehazi his servant, Call this Shunammite. And when he had called her, she stood before him.",,,,,,10361,12
10362,"2KIN",4,13,"And he said unto him, Say now unto her, Behold, thou hast been careful for us with all this care; what is to be done for thee? wouldest thou be spoken for to the king, or to the captain of the host? And she answered, I dwell among mine own people.",,,,,,10362,12
