15433,PSMS,78,19,"Yea, they spake against God; they said, Can God furnish a table in the wilderness?",,,,,,15433,19
15434,PSMS,78,20,"Behold, he smote the rock, that the waters gushed out, and the streams overflowed; can he give bread also? can he provide flesh for his people?",,,,,,15434,19
15435,PSMS,78,21,"Therefore the LORD heard this, and was wroth: so a fire was kindled against Jacob, and anger also came up against Israel;",,,,,,15435,19
15436,PSMS,78,22,"Because they believed not in God, and trusted not in his salvation:",,,,,,15436,19
15437,PSMS,78,23,"Though he had commanded the clouds from above, and opened the doors of heaven,",,,,,,15437,19
15438,PSMS,78,24,"And had rained down manna upon them to eat, and had given them of the corn of heaven.",,,,,,15438,19
15439,PSMS,78,25,Man did eat angels' food: he sent them meat to the full.,,,,,,15439,19
15440,PSMS,78,26,He caused an east wind to blow in the heaven: and by his power he brought in the south wind.,,,,,,15440,19
15441,PSMS,78,27,"He rained flesh also upon them as dust, and feathered fowls like as the sand of the sea:",,,,,,15441,19
15442,PSMS,78,28,"And he let it fall in the midst of their camp, round about their habitations.",,,,,,15442,19
15443,PSMS,78,29,"So they did eat, and were well filled: for he gave them their own desire;",,,,,,15443,19
15444,PSMS,78,30,"They were not estranged from their lust. But while their meat was yet in their mouths,",,,,,,15444,19
15445,PSMS,78,31,"The wrath of God came upon them, and slew the fattest of them, and smote down the chosen men of Israel.",,,,,,15445,19
15446,PSMS,78,32,"For all this they sinned still, and believed not for his wondrous works.",,,,,,15446,19
15447,PSMS,78,33,"Therefore their days did he consume in vanity, and their years in trouble.",,,,,,15447,19
15448,PSMS,78,34,"When he slew them, then they sought him: and they returned and enquired early after God.",,,,,,15448,19
15449,PSMS,78,35,"And they remembered that God was their rock, and the high God their redeemer.",,,,,,15449,19
15450,PSMS,78,36,"Nevertheless they did flatter him with their mouth, and they lied unto him with their tongues.",,,,,,15450,19
15451,PSMS,78,37,"For their heart was not right with him, neither were they stedfast in his covenant.",,,,,,15451,19
15452,PSMS,78,38,"But he, being full of compassion, forgave their iniquity, and destroyed them not: yea, many a time turned he his anger away, and did not stir up all his wrath.",,,,,,15452,19
15453,PSMS,78,39,"For he remembered that they were but flesh; a wind that passeth away, and cometh not again.",,,,,,15453,19
15454,PSMS,78,40,"How oft did they provoke him in the wilderness, and grieve him in the desert!",,,,,,15454,19
15455,PSMS,78,41,"Yea, they turned back and tempted God, and limited the Holy One of Israel.",,,,,,15455,19
15456,PSMS,78,42,"They remembered not his hand, nor the day when he delivered them from the enemy.",,,,,,15456,19
15457,PSMS,78,43,"How he had wrought his signs in Egypt, and his wonders in the field of Zoan.",,,,,,15457,19
15458,PSMS,78,44,"And had turned their rivers into blood; and their floods, that they could not drink.",,,,,,15458,19
15459,PSMS,78,45,"He sent divers sorts of flies among them, which devoured them; and frogs, which destroyed them.",,,,,,15459,19
15460,PSMS,78,46,"He gave also their increase unto the caterpiller, and their labour unto the locust.",,,,,,15460,19
15461,PSMS,78,47,"He destroyed their vines with hail, and their sycomore trees with frost.",,,,,,15461,19
15462,PSMS,78,48,"He gave up their cattle also to the hail, and their flocks to hot thunderbolts.",,,,,,15462,19
15463,PSMS,78,49,"He cast upon them the fierceness of his anger, wrath, and indignation, and trouble, by sending evil angels among them.",,,,,,15463,19
15464,PSMS,78,50,"He made a way to his anger; he spared not their soul from death, but gave their life over to the pestilence;",,,,,,15464,19
15465,PSMS,78,51,And smote all the firstborn in Egypt; the chief of their strength in the tabernacles of Ham:,,,,,,15465,19
15466,PSMS,78,52,"But made his own people to go forth like sheep, and guided them in the wilderness like a flock.",,,,,,15466,19
15467,PSMS,78,53,"And he led them on safely, so that they feared not: but the sea overwhelmed their enemies.",,,,,,15467,19
15468,PSMS,78,54,"And he brought them to the border of his sanctuary, even to this mountain, which his right hand had purchased.",,,,,,15468,19
15469,PSMS,78,55,"He cast out the heathen also before them, and divided them an inheritance by line, and made the tribes of Israel to dwell in their tents.",,,,,,15469,19
15470,PSMS,78,56,"Yet they tempted and provoked the most high God, and kept not his testimonies:",,,,,,15470,19
15471,PSMS,78,57,"But turned back, and dealt unfaithfully like their fathers: they were turned aside like a deceitful bow.",,,,,,15471,19
15472,PSMS,78,58,"For they provoked him to anger with their high places, and moved him to jealousy with their graven images.",,,,,,15472,19
15473,PSMS,78,59,"When God heard this, he was wroth, and greatly abhorred Israel:",,,,,,15473,19
